,Name,LTP,P/E,Debt_to_equity,ESP,BVPS,Net_Profit(RS.cr),DSP(RS.),NPM%,ROE%,Category,Status
192,NHPC,33.15,8.07,0.66,3.03,35.76,3587.0,1.6,37.18,9.84,NIFTY_PSE,profit
193,NMDC,138.2,6.54,0.07,20.7,102.02,6247.0,7.76,40.64,21.0,NIFTY_PSE,profit
194,NTPC,136.45,7.17,1.57,14.87,133.31,14285.0,6.15,12.8,11.63,NIFTY_PSE,profit
195,ONGC,157.4,7.91,0.5,12.92,192.84,20324.0,3.6,6.68,7.35,NIFTY_PSE,profit
196,Oil India,220.0,3.77,0.82,32.53,228.79,3617.0,5.0,16.08,14.9,NIFTY_PSE,profit
197,Power Finance,131.85,2.56,10.86,44.5,309.8,15709.0,10.0,21.92,19.33,NIFTY_PSE,profit
198,Power Grid Corp,191.05,7.03,1.87,23.01,133.68,11821.0,12.0,29.82,17.21,NIFTY_PSE,profit
199,REC,138.4,3.09,7.63,42.42,218.77,8380.0,12.71,23.57,19.39,NIFTY_PSE,profit
200,SAIL,113.65,8.45,0.82,9.32,105.3,3850.0,0.0,5.57,8.85,NIFTY_PSE,profit
201,Axis Bank,712.35,28.83,0.0,24.19,338.13,7252.0,0.0,11.2,6.94,Nifty_FinSrv25/50,profit
202,Bajaj Finance,7607.65,69.99,3.57,73.58,613.67,4419.0,10.0,16.57,11.97,Nifty_FinSrv25/50,profit
203,Bajaj Finserv,18255.4,34.42,3.57,280.9,3663.06,7367.0,3.0,12.15,12.47,Nifty_FinSrv25/50,profit
204,Bajaj Holdings,4929.7,10.04,0.0,327.9,3964.2,208.0,40.0,52.25,9.82,Nifty_FinSrv25/50,profit
205,HDFC AMC,2647.65,46.87,0.0,62.28,224.28,1325.0,34.0,71.56,27.75,Nifty_FinSrv25/50,profit
206,HDFC Bank,1530.8,25.81,0.0,57.88,380.59,31857.0,6.5,24.78,15.17,Nifty_FinSrv25/50,profit
207,HDFC Life,711.05,103.29,0.05,6.74,55.38,1360.0,0.0,81.04,12.15,Nifty_FinSrv25/50,profit
208,HDFC,2948.4,23.66,2.85,105.59,918.08,13566.0,23.0,9.75,11.95,Nifty_FinSrv25/50,profit
209,ICICI Bank,761.3,21.35,0.0,27.26,223.31,20220.0,0.0,22.83,11.9,Nifty_FinSrv25/50,profit
210,ICICI Lombard,1529.0,44.22,0.06,32.41,178.53,1473.0,8.0,59.87,18.15,Nifty_FinSrv25/50,profit
211,ICICI Prudentia,643.25,66.91,0.1,6.66,84.28,956.0,2.0,34.69,7.9,Nifty_FinSrv25/50,profit
212,Kotak Mahindra,2053.1,34.69,0.0,50.53,425.56,9903.0,0.0,30.17,11.84,Nifty_FinSrv25/50,profit
