,Name,LTP,%Chg,Volume,Buy Price,Sell Price,Buy Qty,Sell Qty,Open,Prev.Close,,
244,IRB Infra,227.70,0.51,"1,902,941",0.00,227.70,0,"16,547",228.60,226.55,,
245,Ircon Internati,48.80,0.31,"4,058,087",48.80,0.00,498,0,49.00,48.65,,
246,IRCTC,864.85,2.07,"9,255,302",864.85,0.00,32,0,853.00,847.30,,
247,ITC,232.90,1.26,"11,855,531",232.90,0.00,590,0,231.20,230.00,,
248,ITI,117.95,-1.42,"487,508",0.00,117.95,0,"4,642",120.30,119.65,,
249,J.,K.,Cement,"3,677.45",2.26,"103,002","3,677.45",0.00,2,0,"3,628.00","3,596.05"
250,Jamna Auto,104.10,-1.09,"1,165,116",104.10,0.00,"1,329",0,106.75,105.25,,
251,JB Chemicals,"1,661.45",-0.45,"194,027","1,661.45",0.00,8,0,"1,650.00","1,668.95",,
252,Jindal Saw,109.30,-0.91,"765,827",0.00,0.00,0,0,111.00,110.30,,
253,Jindal Stainles,184.25,2.39,"1,425,054",184.25,0.00,"1,178",0,180.95,179.95,,
254,Jindal,(Hisar),326.95,2.80,"230,784",326.95,0.00,"2,521",0,319.65,318.05,
255,Jindal Steel,398.50,-0.81,"6,996,964",0.00,398.50,0,"6,115",405.50,401.75,,
256,JK Lakshmi Cem,651.50,-2.78,"223,604",0.00,651.50,0,"3,101",673.70,670.15,,
257,JK Paper,224.95,0.29,"455,169",0.00,224.95,0,884,225.20,224.30,,
258,JK Tyre,&,Ind,142.95,0.07,"478,218",0.00,142.95,0,"2,538",143.95,142.85
259,JM Financial,82.20,-0.42,"1,197,492",0.00,82.20,0,289,83.15,82.55,,
260,Johnson Control,"2,077.45",0.32,"7,084","2,077.45",0.00,14,0,"2,079.95","2,070.90",,
261,JSW Energy,322.60,-3.28,"1,189,748",0.00,322.60,0,"1,901",334.00,333.55,,
262,JSW Steel,671.35,0.59,"2,542,949",671.35,0.00,505,0,672.05,667.40,,
263,JTEKT India,96.25,-3.36,"421,353",96.25,0.00,"1,774",0,97.25,99.60,,
264,Jubilant Food,"4,003.75",2.66,"1,024,622",0.00,"4,003.75",0,180,"3,934.00","3,900.05",,
265,Just Dial,785.55,2.36,"448,485",0.00,785.55,0,583,774.30,767.45,,
266,Jyothy Labs,158.70,0.63,"181,544",158.70,0.00,30,0,158.70,157.70,,
267,Kajaria Ceramic,"1,194.40",-0.72,"223,860","1,194.40",0.00,49,0,"1,215.35","1,203.05",,
268,Kalpataru Power,420.05,0.17,"126,505",0.00,0.00,0,0,421.60,419.35,,
269,Kansai Nerolac,596.55,2.92,"1,262,527",0.00,596.55,0,"3,398",588.95,579.65,,
